observed_at,source_date,local,market,city_label,project,openings,weekly_hours,base_hourly,incentive_hourly,per_diem_daily,ot_multiplier,confidence,stress_score,source_url,source_text
2026-09-04T22:52:32.467513+00:00,2026-08-31,8,Toledo–Bowling Green,"Toledo, Oh",Project Accordian,8,60.0,,,,,1.0,42.0,https://where2bro.com/hot-spots/,"8 - LAKE ERIE - PROJECT ACCORDIAN DATA CENTER, BOWLING GREEN OH, 6-10’S, PLA, INDOOR/OUTDOOR WORK, OSHA 10 WITHIN 3 YEARS, DIRECT DEPOSIT, 2 FORMS OF ID, RELIABLE DRUG TESTING, 6AM-4:30PM, REPORT TO JOB 8/31 AT 6AM"
2026-09-04T22:52:32.467513+00:00,2026-08-31,20,Dallas–Fort Worth,"Dallas/Ft Worth, Tx",Stream Data Centers,2,50.0,,,50.0,,1.0,23.5,https://where2bro.com/hot-spots/,2 - ALTERMAN ELECTRIC - STREAM DATA CENTER IN LANCASTER WORKING 5-10’s 1-8 6AM SCATTERED OVERTIME - DRUG TEST AND BACKGROUND CHECK. ORIENTATION 9/1. $50/ DAY INCENTIVE FOR FULL DAYS WORKED - HIGH LEVEL CE2
2026-09-04T22:52:32.467513+00:00,2026-08-31,20,Dallas–Fort Worth,"Dallas/Ft Worth, Tx",DataBank,3,48.0,,,,2.0,0.98,31.9,https://where2bro.com/hot-spots/,"3 - ALMAN CONSTRUCTION SERVICES - RED OAK DATABANK WORKING 4-12’S 1-8 5AM - DRUG TEST, ORIENTATION RIGHT AFTER DISPATCH. AS AN INCENTIVE ALL OVERTIME HOURS WILL BE PAID AT DOUBLE TIME RATE - 3 MID LEVEL CE2 TO HIGH LEVEL CE3"
2026-09-04T22:52:32.467513+00:00,2026-08-31,20,Dallas–Fort Worth,"Dallas/Ft Worth, Tx",DataBank,10,50.0,,,,2.0,0.98,44.0,https://where2bro.com/hot-spots/,10 - MORELY MOSS ELECTRIC - DATABANK RED OAK DFW11 WORKING 5-10S 5AM - DRUG TESTING MUST BE COMPLETED BEFORE ORIENTATION. MUST BE ABLE TO PASS A BACKGROUND CHECK. ORIENTATION 9/8 AT 8:30AM. AS AN INCENTIVE ALL OVERTIME WILL BE PAID AT DOUBLE TIME RATE - MID LEVEL CE1 TO HIGH LEVEL CE3
2026-09-04T22:52:32.467513+00:00,2026-08-31,20,Dallas–Fort Worth,"Dallas/Ft Worth, Tx",QTS,21,56.0,,,,2.0,0.98,56.9,https://where2bro.com/hot-spots/,21 - MORELY MOSS ELECTRIC - QTS LANCASTER WORKING 4-12’S & 1-8’S 5AM START - DRUG TESTING WILL NEED TO BE COMPLETED BEFORE ORIENTATION. BACKGROUND CHECK. ORIENTATION 9/8. AS AN INCENTIVE ALL OVERTIME WILL BE PAID AT DOUBLE TIME RATE - MID LEVEL CE1 TO HIGH LEVEL CE3
2026-09-04T22:52:32.467513+00:00,2026-08-24,26,Northern Virginia / DC,"Washington, Dc",Unclassified data center,1,,,,,,1.0,6.9,https://where2bro.com/hot-spots/,"1 CALL AAROW ELECTRIC 49160 DCA 72 MANASSAS, VA REPORT TO: KATIE VALLIERE START TIME & DATE: 6:00AM ASAP APPROX. DURATION: UNKNOWN TYPE OF WORK: DATA CENTER, POSSIBLE OT PRE-HIRE DRUG TESTING APPLICANT FROM THE DRUG TESTED LIST BRING IDS AND PROOF OF US CITIZEN MUST BE ABLE TO PASS BACKGROUND CHECK AFTER HIRING"
2026-09-04T22:52:32.467513+00:00,2026-08-24,26,Northern Virginia / DC,"Washington, Dc",Unclassified data center,3,,,,,,1.0,13.9,https://where2bro.com/hot-spots/,3 CALLS ABM ELECTRICAL 46269 MULTIPLE DATA CENTERS VARIOUS LOCATIONS REPORT TO: JOSH BROWN START TIME & DATE: ASAP APPROX. DURATION: 12 MONTHS TYPE OF WORK: NETA TESTING APPLICANT FROM THE DRUG TESTED LIST PRE-HIRE DRUG TESTING MUST BE NETA II CERTIFIED
2026-09-04T22:52:32.467513+00:00,2026-08-24,26,Northern Virginia / DC,"Washington, Dc",Unclassified data center,3,,,,,,1.0,13.9,https://where2bro.com/hot-spots/,3 CALLS ABM ELECTRICAL 46268 MULTIPLE DATA CENTERS VARIOUS LOCATIONS REPORT TO: JOSH BROWN START TIME & DATE: ASAP APPROX. DURATION: 12 MONTHS TYPE OF WORK: NETA TESTING APPLICANT FROM THE DRUG TESTED LIST PRE-HIRE DRUG TESTING MUST BE NETA IV CERTIFIED
2026-09-04T22:52:32.467513+00:00,2026-08-24,26,Northern Virginia / DC,"Washington, Dc",Unclassified data center,2,,,,,,1.0,11.0,https://where2bro.com/hot-spots/,2 CALLS ABM ELECTRICAL 46252 MULTIPLE DATA CENTERS VARIOUS LOCATIONS REPORT TO: JOSH BROWN START TIME & DATE: ASAP APPROX. DURATION: 12 MONTHS TYPE OF WORK: NETA TESTING APPLICANT FROM THE DRUG TESTED LIST PRE-HIRE DRUG TESTING MUST BE NETA III
2026-09-04T22:52:32.467513+00:00,2026-08-24,26,Northern Virginia / DC,"Washington, Dc",Unclassified data center,3,,,,,,1.0,13.9,https://where2bro.com/hot-spots/,"3 CALLS DYNALECTRIC 49163 DATA CENTER ALDIE, VA REPORT TO: MIKE DEVINE START TIME & DATE: 6:00AM 09/02/2026 APPROX. DURATION: 6 MONTHS TYPE OF WORK: DATA CENTER, 40HRS PRE-HIRE DRUG TESTING"
